site,species,counts
19,Agrostol,0
19,Airaprae,3
19,Alopgeni,0
19,Anthodor,4
19,Bellpere,0
19,Bromhord,0
19,Chenalbu,0
19,Cirsarve,0
19,Comapalu,0
19,Eleopalu,0
19,Elymrepe,0
19,Empenigr,2
19,Hyporadi,5
19,Juncarti,0
19,Juncbufo,0
19,Lolipere,0
19,Planlanc,0
19,Poaprat,0
19,Poatriv,0
19,Ranuflam,0
19,Rumeacet,0
19,Sagiproc,3
19,Salirepe,3
19,Scorautu,6
19,Trifprat,0
19,Trifrepe,2
19,Vicilath,0
19,Bracruta,3
19,Callcusp,0
20,Achimill,0
20,Agrostol,5
20,Airaprae,0
20,Alopgeni,0
20,Anthodor,0
20,Bellpere,0
20,Bromhord,0
20,Chenalbu,0
20,Cirsarve,0
20,Comapalu,0
20,Eleopalu,4
20,Elymrepe,0
20,Empenigr,0
20,Hyporadi,0
20,Juncarti,4
20,Juncbufo,0
20,Lolipere,0
20,Planlanc,0
20,Poaprat,0
20,Poatriv,0
20,Ranuflam,4
20,Rumeacet,0
20,Sagiproc,0
20,Salirepe,5
20,Scorautu,2
20,Trifprat,0
20,Trifrepe,0
20,Vicilath,0
20,Bracruta,4
20,Callcusp,3
