tank,block,treatment,source,date,stocked,larval_period,growthrate,mass_g,hl,svl,tl,hw,phenotype,env_pheno,stage,body_condition
20,Block 2,Drying,Temporary,7/19/2017,4/8/2017,102,0.346078431,1.631,10.525,35.3,60.85,8.954,Metamorph,Terrestrial,Adult,-0.147853036
23,Block 5,Drying,Temporary,5/28/2017,4/8/2017,50,0.73128,2.064,10.54,36.564,65.979,9.542,Metamorph,Terrestrial,Adult,0.009348892
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.154910931,2.486,10.548,38.263,74.812,9.611,Larva,Aquatic,Larvae,0.060636135
10,Block 4,Constant,Temporary,5/28/2017,4/8/2017,50,0.78414,2.722,10.562,39.207,74.092,10.387,Metamorph,Terrestrial,Adult,0.09066036
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.551652174,2.272,10.596,38.064,73.876,10.219,Metamorph,Terrestrial,Adult,-0.109943124
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.151219512,2.072,10.601,37.2,71.664,9.421,Larva,Aquatic,Larvae,-0.121422923
6,Block 6,Constant,Temporary,9/23/2017,4/8/2017,168,0.236184524,2.455,10.615,39.679,73.894,10.254,Metamorph,Terrestrial,Adult,-0.279327528
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.142357724,1.886,10.622,35.02,68.482,9.211,Larva,Aquatic,Larvae,0.168241474
19,Block 1,Constant,Permanent,6/7/2017,4/9/2017,59,0.719576271,2.641,10.674,42.455,75.054,10.283,Metamorph,Terrestrial,Adult,-0.699035952
4,Block 4,Drying,Permanent,10/20/2017,4/9/2017,194,0.206793814,2.561,10.678,40.118,74.464,10.257,Metamorph,Terrestrial,Adult,-0.269114991
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.163672065,2.551,10.701,40.427,73.643,10.338,Larva,Aquatic,Larvae,-0.346537146
12,Block 6,Drying,Permanent,7/8/2017,4/9/2017,90,0.407522222,2.17,10.71,36.677,67.03,9.928,Metamorph,Terrestrial,Adult,0.090692893
9,Block 3,Drying,Permanent,7/5/2017,4/9/2017,87,0.380816092,2.018,10.738,33.131,62.516,9.423,Metamorph,Terrestrial,Adult,0.712411219
20,Block 2,Drying,Temporary,10/10/2017,4/8/2017,185,0.206097297,1.887,10.761,38.128,68.04,9.959,Metamorph,Terrestrial,Adult,-0.508907583
11,Block 5,Constant,Temporary,6/3/2017,4/8/2017,56,0.711303571,2.402,10.788,39.833,70.097,9.968,Metamorph,Terrestrial,Adult,-0.365929508
16,Block 4,Drying,Temporary,6/19/2017,4/8/2017,72,0.524013889,2.791,10.81,37.729,74.681,10.033,Metamorph,Terrestrial,Adult,0.482152093
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.145800813,1.929,10.821,35.867,70.613,9.206,Larva,Aquatic,Larvae,0.026430582
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.169717742,3.362,10.83,42.09,85.316,10.359,Larva,Aquatic,Larvae,0.101605105
12,Block 6,Drying,Permanent,12/12/2017,4/9/2017,247,0.185275304,3.951,10.834,45.763,86.469,10.484,Paedomorph,Aquatic,Adult,-0.110823944
13,Block 1,Drying,Permanent,5/25/2017,4/9/2017,46,0.807282609,2.455,10.836,37.135,70.276,9.785,Metamorph,Terrestrial,Adult,0.275759731
20,Block 2,Drying,Temporary,10/3/2017,4/8/2017,178,0.219449438,2.37,10.848,39.062,74.5,10.308,Metamorph,Terrestrial,Adult,-0.229701412
20,Block 2,Drying,Temporary,10/20/2017,4/8/2017,195,0.190533333,2.175,10.859,37.154,71.992,10.155,Metamorph,Terrestrial,Adult,-0.008385968
5,Block 5,Constant,Permanent,9/27/2017,4/9/2017,171,0.232374269,2.767,10.86,39.736,74.304,10.618,Metamorph,Terrestrial,Adult,0.020235376
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.141768293,2.098,10.866,34.875,72.864,9.023,Larva,Aquatic,Larvae,0.411879702
4,Block 4,Drying,Permanent,9/19/2017,4/9/2017,163,0.245,2.294,10.883,39.935,71.969,9.785,Metamorph,Terrestrial,Adult,-0.496185365
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.183158537,3.923,10.899,45.057,87.433,10.913,Larva,Aquatic,Larvae,0.015221498
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.172278226,3.144,10.907,42.725,83.765,10.64,Larva,Aquatic,Larvae,-0.254948515
9,Block 3,Drying,Permanent,12/12/2017,4/9/2017,247,0.172133603,3.297,10.91,42.517,83.565,10.27,Larva,Aquatic,Larvae,-0.056564022
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.160229839,2.738,10.932,39.737,77.471,10.404,Larva,Aquatic,Larvae,-0.008982819
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.163459677,2.682,10.943,40.538,77.531,10.377,Larva,Aquatic,Larvae,-0.239756755
9,Block 3,Drying,Permanent,7/23/2017,4/9/2017,105,0.362057143,2.17,10.95,38.016,64.643,9.52,Metamorph,Terrestrial,Adult,-0.201469779
9,Block 3,Drying,Permanent,7/19/2017,4/9/2017,101,0.370940594,2.387,10.972,37.465,65.314,9.953,Metamorph,Terrestrial,Adult,0.135755488
13,Block 1,Drying,Permanent,8/3/2017,4/9/2017,116,0.369025862,2.692,10.991,42.807,75.507,10.426,Metamorph,Terrestrial,Adult,-0.724840478
11,Block 5,Constant,Temporary,6/3/2017,4/8/2017,56,0.663785714,2.158,10.994,37.172,71.059,9.655,Metamorph,Terrestrial,Adult,-0.029313472
9,Block 3,Drying,Permanent,9/19/2017,4/9/2017,163,0.239184049,2.046,10.995,38.987,67.7,9.717,Metamorph,Terrestrial,Adult,-0.537336811
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.163431452,2.519,10.999,40.531,77.507,10.431,Larva,Aquatic,Larvae,-0.401229393
4,Block 4,Drying,Permanent,6/13/2017,4/9/2017,65,0.561615385,1.967,11.008,36.505,67.482,9.43,Metamorph,Terrestrial,Adult,-0.074777622
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.154146341,2.312,11.023,37.92,74.412,9.854,Larva,Aquatic,Larvae,-0.03852309
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.17297561,3.338,11.032,42.552,84.355,9.653,Paedomorph,Aquatic,Adult,-0.023200835
24,Block 6,Constant,Permanent,5/18/2017,4/9/2017,39,0.925615385,1.884,11.045,36.099,53.346,9.508,Metamorph,Terrestrial,Adult,-0.069190583
13,Block 1,Drying,Permanent,9/27/2017,4/9/2017,171,0.25074269,2.858,11.08,42.877,78.131,11.31,Metamorph,Terrestrial,Adult,-0.574114106
11,Block 5,Constant,Temporary,9/19/2017,4/8/2017,164,0.249670732,2.659,11.084,40.946,76.947,10.04,Metamorph,Terrestrial,Adult,-0.351780184
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.1545,2.305,11.087,38.007,76.987,9.667,Larva,Aquatic,Larvae,-0.064506027
20,Block 2,Drying,Temporary,10/3/2017,4/8/2017,178,0.214634831,2.174,11.092,38.205,67.41,10.146,Metamorph,Terrestrial,Adult,-0.238708573
9,Block 3,Drying,Permanent,12/12/2017,4/9/2017,247,0.166206478,2.945,11.12,41.053,78.007,10.495,Larva,Aquatic,Larvae,-0.089127014
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.156829268,2.57,11.152,38.58,77.437,10.472,Larva,Aquatic,Larvae,0.075468423
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.172350806,3.317,11.185,42.743,80.217,10.495,Paedomorph,Aquatic,Adult,-0.085876019
21,Block 3,Drying,Temporary,10/10/2017,4/8/2017,185,0.227356757,3.192,11.189,42.061,79.877,11.161,Metamorph,Terrestrial,Adult,-0.062067249
13,Block 1,Drying,Permanent,8/18/2017,4/9/2017,131,0.310274809,2.59,11.212,40.646,72.746,10.504,Metamorph,Terrestrial,Adult,-0.355321781
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.162882114,2.792,11.215,40.069,75.455,9.877,Larva,Aquatic,Larvae,-0.027423452
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.154333333,2.525,11.237,37.966,79.135,9.915,Larva,Aquatic,Larvae,0.164439954
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.165243902,3.439,11.239,40.65,84.038,10.247,Paedomorph,Aquatic,Adult,0.492805441
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.175634146,3.902,11.24,43.206,87.907,10.251,Paedomorph,Aquatic,Adult,0.398099846
13,Block 1,Drying,Permanent,5/18/2017,4/9/2017,39,0.927076923,2.1,11.247,36.156,69.798,9.83,Metamorph,Terrestrial,Adult,0.13437232
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.153630081,2.35,11.266,37.793,73.168,9.66,Larva,Aquatic,Larvae,0.027187634
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.138565041,1.91,11.272,34.087,67.884,9.39,Larva,Aquatic,Larvae,0.395817107
1,Block 1,Drying,Temporary,5/21/2017,4/8/2017,43,0.822232558,2.135,11.294,35.356,68.398,9.927,Metamorph,Terrestrial,Adult,0.343928062
4,Block 4,Drying,Permanent,12/12/2017,4/9/2017,247,0.169242915,3.869,11.306,41.803,82.307,10.34,Larva,Aquatic,Larvae,0.671226978
12,Block 6,Drying,Permanent,7/8/2017,4/9/2017,90,0.433166667,2.661,11.312,38.985,72.228,9.582,Metamorph,Terrestrial,Adult,0.078099578
14,Block 2,Drying,Permanent,6/19/2017,4/9/2017,71,0.571295775,2.868,11.328,40.562,75.906,10.458,Metamorph,Terrestrial,Adult,-0.058993428
4,Block 4,Drying,Permanent,9/7/2017,4/9/2017,151,0.249231788,2.399,11.353,37.634,69.428,9.931,Metamorph,Terrestrial,Adult,0.110880587
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.151321138,2.769,11.361,37.225,78.801,10.151,Larva,Aquatic,Larvae,0.57012221
14,Block 2,Drying,Permanent,7/11/2017,4/9/2017,93,0.486290323,3.111,11.377,45.225,76.749,10.744,Metamorph,Terrestrial,Adult,-0.833435208
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.167384615,2.946,11.378,41.344,79.166,9.924,Paedomorph,Aquatic,Adult,-0.151621665
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.15450813,2.149,11.381,38.009,68.636,9.28,Larva,Aquatic,Larvae,-0.220942417
1,Block 1,Drying,Temporary,6/3/2017,4/8/2017,56,0.660589286,2.356,11.393,36.993,69.513,9.63,Metamorph,Terrestrial,Adult,0.207743375
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.60057971,2.587,11.396,41.44,74.64,10.377,Metamorph,Terrestrial,Adult,-0.531568354
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.17158871,3.083,11.42,42.554,83.68,10.56,Larva,Aquatic,Larvae,-0.278637225
6,Block 6,Constant,Temporary,9/23/2017,4/8/2017,168,0.241696429,2.644,11.436,40.605,72.564,10.139,Metamorph,Terrestrial,Adult,-0.292375799
4,Block 4,Drying,Permanent,12/12/2017,4/9/2017,247,0.179643725,3.708,11.437,44.372,87.046,10.763,Larva,Aquatic,Larvae,-0.050315148
12,Block 6,Drying,Permanent,7/19/2017,4/9/2017,101,0.375178218,2.601,11.44,37.893,70.982,9.652,Metamorph,Terrestrial,Adult,0.256368166
2,Block 2,Constant,Permanent,6/16/2017,4/9/2017,68,0.553544118,2.381,11.473,37.641,70.696,9.882,Metamorph,Terrestrial,Adult,0.091353224
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.175804878,3.111,11.477,43.248,85.194,9.912,Larva,Aquatic,Larvae,-0.402064331
9,Block 3,Drying,Permanent,9/23/2017,4/9/2017,167,0.237305389,1.978,11.486,39.63,68.303,10.05,Metamorph,Terrestrial,Adult,-0.745635989
3,Block 3,Constant,Temporary,9/23/2017,4/8/2017,168,0.261095238,3.725,11.487,43.864,81.457,11.024,Metamorph,Terrestrial,Adult,0.077527748
12,Block 6,Drying,Permanent,9/7/2017,4/9/2017,151,0.276629139,2.767,11.513,41.771,75.139,10.252,Metamorph,Terrestrial,Adult,-0.423790792
12,Block 6,Drying,Permanent,7/19/2017,4/9/2017,101,0.374405941,2.455,11.518,37.815,69.418,9.933,Metamorph,Terrestrial,Adult,0.127387351
23,Block 5,Drying,Temporary,7/23/2017,4/8/2017,106,0.377943396,2.71,11.556,40.062,73.254,10.234,Metamorph,Terrestrial,Adult,-0.107896089
20,Block 2,Drying,Temporary,12/11/2017,4/8/2017,247,0.172469636,3.003,11.558,42.6,83.902,9.886,Larva,Aquatic,Larvae,-0.36867418
9,Block 3,Drying,Permanent,9/19/2017,4/9/2017,163,0.239625767,2.51,11.561,39.059,71.823,9.899,Metamorph,Terrestrial,Adult,-0.089046828
13,Block 1,Drying,Permanent,7/23/2017,4/9/2017,105,0.391247619,2.9,11.571,41.081,76.714,10.227,Metamorph,Terrestrial,Adult,-0.140236465
24,Block 6,Constant,Permanent,6/3/2017,4/9/2017,55,0.710254545,2.401,11.573,39.064,65.359,9.969,Metamorph,Terrestrial,Adult,-0.199137801
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.169052419,2.753,11.589,41.925,80.681,10.408,Larva,Aquatic,Larvae,-0.471392773
13,Block 1,Drying,Permanent,5/31/2017,4/9/2017,52,0.718057692,2.409,11.598,37.339,69.873,9.955,Metamorph,Terrestrial,Adult,0.185248017
13,Block 1,Drying,Permanent,6/13/2017,4/9/2017,65,0.571538462,2.728,11.602,37.15,71.52,9.868,Metamorph,Terrestrial,Adult,0.545486811
4,Block 4,Drying,Permanent,5/31/2017,4/9/2017,52,0.744211538,2.246,11.641,38.699,71.181,9.605,Metamorph,Terrestrial,Adult,-0.274496744
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.181369919,3.844,11.705,44.617,91.13,10.948,Larva,Aquatic,Larvae,0.032227156
23,Block 5,Drying,Temporary,7/23/2017,4/8/2017,106,0.395509434,3.033,11.722,41.924,75.038,10.247,Metamorph,Terrestrial,Adult,-0.191174578
14,Block 2,Drying,Permanent,7/23/2017,4/9/2017,105,0.401038095,3.027,11.726,42.109,76.911,10.849,Metamorph,Terrestrial,Adult,-0.237540593
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.183800813,3.864,11.729,45.215,88.887,10.784,Larva,Aquatic,Larvae,-0.078253261
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.150430894,2.352,11.73,37.006,72.544,9.216,Larva,Aquatic,Larvae,0.200906845
5,Block 5,Constant,Permanent,9/19/2017,4/9/2017,163,0.243631902,2.51,11.751,39.712,70.99,10.201,Metamorph,Terrestrial,Adult,-0.231527952
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.171794355,3.299,11.771,42.605,77.832,10.348,Larva,Aquatic,Larvae,-0.073765153
13,Block 1,Drying,Permanent,7/2/2017,4/9/2017,84,0.485630952,3.068,11.772,40.793,76.866,10.721,Metamorph,Terrestrial,Adult,0.090603602
18,Block 6,Drying,Temporary,6/13/2017,4/8/2017,66,0.643651515,3.676,11.851,42.481,81.614,10.775,Metamorph,Terrestrial,Adult,0.330290987
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.169060484,3.178,11.876,41.927,83.809,10.533,Larva,Aquatic,Larvae,-0.046829162
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.161654472,2.653,11.882,39.767,76.976,9.95,Larva,Aquatic,Larvae,-0.100528659
24,Block 6,Constant,Permanent,9/19/2017,4/9/2017,163,0.263159509,3.218,11.884,42.895,79.031,10.645,Metamorph,Terrestrial,Adult,-0.21804161
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.179129032,3.48,11.898,44.424,88.547,10.276,Paedomorph,Aquatic,Adult,-0.289661271
7,Block 1,Constant,Temporary,10/15/2017,4/8/2017,190,0.265763158,4.536,11.921,50.495,97.591,11.575,Metamorph,Terrestrial,Adult,-0.558321157
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.179129032,3.422,11.956,44.424,85.376,10.78,Larva,Aquatic,Larvae,-0.347661271
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.163382114,2.953,11.96,40.192,81.98,10.981,Larva,Aquatic,Larvae,0.106738603
3,Block 3,Constant,Temporary,9/23/2017,4/8/2017,168,0.254446429,3.557,11.974,42.747,79.975,10.949,Metamorph,Terrestrial,Adult,0.153251203
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.176375,3.008,11.986,43.741,78.898,10.493,Paedomorph,Aquatic,Adult,-0.612634307
2,Block 2,Constant,Permanent,9/23/2017,4/9/2017,167,0.238143713,2.793,11.987,39.77,74.873,10.41,Metamorph,Terrestrial,Adult,0.038816757
18,Block 6,Drying,Temporary,6/25/2017,4/8/2017,78,0.549846154,4.503,11.992,42.888,87.026,11.177,Metamorph,Terrestrial,Adult,1.068485753
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.164526316,2.978,11.996,40.638,72.853,10.216,Larva,Aquatic,Larvae,0.034423777
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.176153226,2.856,12.027,43.686,81.029,10.215,Larva,Aquatic,Larvae,-0.752633599
23,Block 5,Drying,Temporary,7/5/2017,4/8/2017,88,0.448954545,2.85,12.034,39.508,73.656,10.236,Metamorph,Terrestrial,Adult,0.152983762
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.167963563,2.846,12.047,41.487,72.353,10.785,Larva,Aquatic,Larvae,-0.282823504
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.175658537,3.27,12.066,43.212,84.926,10.599,Larva,Aquatic,Larvae,-0.235209322
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.188300813,3.682,12.096,46.322,90.194,11.311,Larva,Aquatic,Larvae,-0.501794769
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.168773279,3.365,12.176,41.687,86.785,10.903,Larva,Aquatic,Larvae,0.19253756
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.177927126,4.262,12.184,43.948,88.743,11.232,Larva,Aquatic,Larvae,0.596199395
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.192697581,4.228,12.201,47.789,92.507,11.129,Paedomorph,Aquatic,Adult,-0.27588636
16,Block 4,Drying,Temporary,7/23/2017,4/8/2017,106,0.394754717,3.651,12.212,41.844,79.83,11.264,Metamorph,Terrestrial,Adult,0.444280996
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.165259109,3.012,12.213,40.819,73.695,10.141,Larva,Aquatic,Larvae,0.02893054
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.167044715,5.334,12.223,41.093,82.642,10.902,Paedomorph,Aquatic,Adult,2.291145199
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.586536232,2.99,12.28,40.471,75.919,10.692,Metamorph,Terrestrial,Adult,0.082862288
18,Block 6,Drying,Temporary,7/5/2017,4/8/2017,88,0.475193182,3.696,12.35,41.817,81.838,11.004,Metamorph,Terrestrial,Adult,0.495172252
14,Block 2,Drying,Permanent,9/15/2017,4/9/2017,159,0.280427673,3.327,12.35,44.588,82.034,11.062,Metamorph,Terrestrial,Adult,-0.478445198
7,Block 1,Constant,Temporary,12/12/2017,4/8/2017,248,0.201379032,5.233,12.352,49.942,95.582,11.71,Paedomorph,Aquatic,Adult,0.2593405
22,Block 4,Constant,Permanent,6/25/2017,4/9/2017,77,0.524220779,2.523,12.355,40.365,67.504,10.279,Metamorph,Terrestrial,Adult,-0.361009076
1,Block 1,Drying,Temporary,9/23/2017,4/8/2017,168,0.256154762,3.18,12.378,43.034,79.36,10.814,Metamorph,Terrestrial,Adult,-0.28637067
24,Block 6,Constant,Permanent,9/19/2017,4/9/2017,163,0.268300613,3.263,12.419,43.733,81.098,10.903,Metamorph,Terrestrial,Adult,-0.355888749
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.176178862,4.046,12.446,43.34,84.543,10.947,Paedomorph,Aquatic,Adult,0.512861759
